Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
1b8e1bf44d00035e0767da608657eb28fae9dc42,9cd1266b95309c8284b2603dd68f0c3d2f708c3d1f48798a79e44fabf952dc64b91a0301529a4d879df1a7cd66c5fb55fe8f61a510c6f8d3df53a5c8ea875fb9,01/11/2024 12:00:00 AM,01/11/2024 12:15:00 AM,674,6.35,,,76,,17.75,4.75,0.00,5.50,28.50,Credit Card,5 Star Taxi,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
8389cac3648ee2b1460bf147858e3817435c9d40,8db2cff2e5d2e3703f612ee4188053f9cfc620a0861b577f4a98460dc0fd9d419a1824188d37bedf3c8f97943fb051acaf9d645e30e56c90c45a966311b17b66,01/11/2024 12:00:00 AM,01/11/2024 12:30:00 AM,1712,24.16,,,67,,65.87,0.00,0.00,0.00,65.87,Cash,Flash Cab,41.775928827,-87.666596265,POINT (-87.6665962653 41.7759288274),,,
41306cca8331a70bb188f0e4839a024500d8c809,97c6416993b8151c499cefeb4d036a85605d391a116b3c657d1215fd8f93106709b2851350eb9b6a88cb995c432a1798982507eda6b3cf580366764ab860d357,01/11/2024 12:00:00 AM,01/11/2024 12:15:00 AM,1080,10.5,,,76,,28.00,8.10,0.00,4.00,40.10,Credit Card,Choice Taxi Association,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
4422871df01dbaa1178c9cd03e6678b48d7dd120,90a7cf3946c408e70e8d64b08f2bc6819ae5de6159ecef3460c5287031148a66c4c0d4b6b6c53f13919fcb785db502dcd99c94fb60daa9ac6b338f01ed8c3a2b,01/11/2024 12:00:00 AM,01/11/2024 12:30:00 AM,1723,18.73,,,25,77,37.25,0.00,0.00,0.00,37.25,Cash,Flash Cab,41.890608853,-87.756046711,POINT (-87.7560467111 41.8906088526),41.9867118,-87.663416405,POINT (-87.6634164054 41.9867117999)
4437ce86c0461657cc37dc0f0df48cd9b9ec1d16,f20c9c5845dab1e51799b959d378c102763d4b31d738da7ea1f7fee763a4c830854cf6025fbe42e7c37dddab03ef2cf43bc775bdd6c5a4114d307dbf415728a5,01/11/2024 12:00:00 AM,01/11/2024 12:15:00 AM,1189,13.81,,,53,61,34.50,0.00,0.00,0.00,34.50,Prcard,Flash Cab,41.673819904,-87.635739777,POINT (-87.6357397768 41.6738199043),41.80901825,-87.659166599,POINT (-87.6591665992 41.8090182499)
8e9691e3bf003c762deef4cda7ade24d49b7d2d3,3d4d650b0b10ca90ad2b4ac59a5f5b5f6d7bec7485211b2a41f1f63c5b83edd5b2efb7bf7290bddb0ddd12a91d0c89738767d70f47cfb1689686936a376031db,01/11/2024 12:00:00 AM,01/11/2024 12:15:00 AM,597,3.74,,,3,7,12.25,0.00,0.00,0.00,12.25,Prcard,Flash Cab,41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197),41.922686284,-87.649488729,POINT (-87.6494887289 41.9226862843)
910a9422f4faa9410ba4ff5842146f81089e9eb8,545ac2dfd5b722e0f0d884cc68ec27d5b0537410edd8bf8cc9b5a5678e04ce29f61294267fb5abdc2a3f7732167469a04bedb5fdc972527bb29597947d2d0abd,01/11/2024 12:00:00 AM,01/11/2024 12:30:00 AM,1560,0.8,,,76,6,35.50,0.00,0.00,4.00,39.50,Cash,Taxi Affiliation Services,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014)
44559c64d7784fdc73c2ef99652c86fe449e2892,02ef8f01232b1b1828f4e5e1b8e8a85cd71b67c449afafbd2dd7ab726b2bb72795fcd00a9bb2477dfa6f8a325bbfde41ae888127ecd354096a1117f5e6fd9e0d,01/11/2024 12:00:00 AM,01/11/2024 12:15:00 AM,995,12.79,,,39,56,32.50,0.00,0.00,0.00,32.50,Prcard,City Service,41.808916283,-87.596183344,POINT (-87.5961833442 41.8089162826),41.79259236,-87.769615453,POINT (-87.7696154528 41.7925923603)
006da20dfb7a117cfd6946dbce55e84c407eff5c,1a6d17595bc577385346e034ecbe0994d8f207d47d5b4c6f9fee70a1d4f37417db300370d59596dc2dd0bda2e35794bcdfd1bbead90d84a44aedd978ed269944,01/11/2024 12:00:00 AM,01/11/2024 12:15:00 AM,1202,14.37,,,76,23,36.00,8.10,0.00,4.00,48.60,Credit Card,5 Star Taxi,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.900069603,-87.720918238,POINT (-87.7209182385 41.9000696026)
9a382d4c6b34210fc39038e4b1a09401a841aa6f,2506f790bb314e3f0d8671b98329d5c9afd3f17e72aef1d9718820ebdc8faafba6ba836854578bab32e15f2122c299d8914569f48341d5fe95b443659a0a3baf,01/11/2024 12:00:00 AM,01/11/2024 12:15:00 AM,540,0.1,,,6,22,8.75,0.00,0.00,0.00,8.75,Unknown,Taxi Affiliation Services,41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014),41.92276062,-87.699155343,POINT (-87.6991553432 41.9227606205)
